ip,first_seen,last_seen,categories,events,signals
72.255.37.19,2026-09-03T12:00:00Z,2026-09-03T12:00:00Z,1,55,honeypot_command_exec;honeypot_connection;honeypot_login_attempt
73.43.184.216,2026-09-03T18:00:00Z,2026-09-03T18:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
73.183.115.109,2026-09-04T01:00:00Z,2026-09-04T01:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
75.35.116.116,2026-09-03T09:00:00Z,2026-09-03T09:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
78.0.148.252,2026-09-04T01:00:00Z,2026-09-04T01:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
78.68.69.14,2026-09-01T03:00:00Z,2026-09-03T06:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
78.187.230.168,2026-09-03T10:00:00Z,2026-09-03T19:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
78.192.21.78,2026-08-25T04:00:00Z,2026-09-03T22:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
79.54.112.213,2026-09-03T09:00:00Z,2026-09-03T09:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
79.111.175.76,2026-09-03T05:00:00Z,2026-09-03T05:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
80.233.77.136,2026-09-02T19:00:00Z,2026-09-04T04:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
81.26.206.7,2026-09-03T20:00:00Z,2026-09-03T20:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
81.101.197.226,2026-09-01T07:00:00Z,2026-09-03T13:00:00Z,1,12,honeypot_connection;honeypot_login_attempt
81.215.2.43,2026-09-01T06:00:00Z,2026-09-03T05:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
81.233.137.32,2026-08-31T05:00:00Z,2026-09-04T04:00:00Z,1,8,honeypot_connection;honeypot_login_attempt
81.233.184.161,2026-08-26T03:00:00Z,2026-09-03T11:00:00Z,1,6,honeypot_connection;honeypot_login_attempt
82.29.132.147,2026-09-01T13:00:00Z,2026-09-03T13:00:00Z,1,227,honeypot_connection;honeypot_login_attempt
82.67.175.124,2026-08-31T05:00:00Z,2026-09-03T15:00:00Z,1,8,honeypot_connection;honeypot_login_attempt
82.155.227.12,2026-09-03T15:00:00Z,2026-09-03T15:00:00Z,1,36,honeypot_command_exec;honeypot_connection;honeypot_file_download;honeypot_login_attempt
82.193.122.91,2026-09-01T13:00:00Z,2026-09-03T19:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
