ip,first_seen,last_seen,categories,events,signals
188.220.169.89,2026-09-01T13:00:00Z,2026-09-25T23:00:00Z,1,2054,honeypot_connection;honeypot_login_attempt
189.90.38.164,2026-09-25T01:00:00Z,2026-09-25T01:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
190.182.160.212,2026-09-26T04:00:00Z,2026-09-26T04:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
193.46.255.86,2026-08-22T04:00:00Z,2026-09-26T15:00:00Z,1,766,honeypot_connection;honeypot_login_attempt
193.162.143.16,2026-09-02T02:00:00Z,2026-09-25T15:00:00Z,1,123,honeypot_connection;honeypot_login_attempt
195.251.223.205,2026-09-08T17:00:00Z,2026-09-25T22:00:00Z,1,92,honeypot_connection;honeypot_login_attempt
196.127.9.103,2026-09-26T08:00:00Z,2026-09-26T08:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
197.248.12.28,2026-09-21T17:00:00Z,2026-09-25T10:00:00Z,1,18,honeypot_connection;honeypot_login_attempt
200.71.72.233,2026-09-22T02:00:00Z,2026-09-25T21:00:00Z,1,22,honeypot_connection;honeypot_login_attempt
203.123.87.2,2026-09-26T14:00:00Z,2026-09-26T14:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
203.222.146.118,2026-09-26T07:00:00Z,2026-09-26T07:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
204.44.121.28,2026-09-19T23:00:00Z,2026-09-25T20:00:00Z,1,43,honeypot_connection;honeypot_login_attempt
211.75.94.175,2026-08-26T03:00:00Z,2026-09-25T05:00:00Z,1,30,honeypot_connection;honeypot_login_attempt
218.13.42.187,2026-09-25T01:00:00Z,2026-09-25T01:00:00Z,1,2,honeypot_connection;honeypot_login_attempt
218.56.12.138,2026-09-06T02:00:00Z,2026-09-26T02:00:00Z,1,4,honeypot_connection;honeypot_login_attempt
220.132.197.77,2026-08-26T19:00:00Z,2026-09-25T17:00:00Z,1,124,honeypot_connection;honeypot_login_attempt
